corridor_key,scenarios_profitable,min_stress_margin,avg_stress_margin,max_stress_score,mean_stress_score,spatial_priority_score,spatial_tier,active_products,flow_persistence_score,stress_class
Giteranyi — Kobero,7,556.5019917323805,640.0480281710203,98.28597921912407,98.28597921912407,98.28597921912407,A — stratégique,2.0,100.0,Very robust
Giteranyi — Mabanda,6,-4.884916433344756,54.13092752856662,46.962270581907674,46.962270581907674,46.962270581907674,D — surveillance,0.0,0.0,Robust
Giteranyi — Mabayi,7,680.2550812863602,826.4704588370114,66.40035936833121,66.40035936833121,66.40035936833121,C — secondaire,0.0,0.0,Very robust
Giteranyi — Makamba,7,125.08054029098906,198.816459553281,44.294333272128284,44.29433327212829,44.294333272128284,D — surveillance,0.0,0.0,Very robust
Giteranyi — Marangara,7,200.06325040157708,246.59222102924733,67.22527267148462,67.22527267148462,67.22527267148462,C — secondaire,0.0,0.0,Very robust
Giteranyi — Masanganzira,7,607.4124643556727,708.3465512952881,64.64456504414918,64.64456504414918,64.64456504414918,C — secondaire,0.0,0.0,Very robust
Giteranyi — Matana,7,252.3647230645579,333.21684074195343,53.631522152737354,53.631522152737354,53.631522152737354,C — secondaire,0.0,0.0,Very robust
Giteranyi — Mihigo,7,784.6584617425843,921.8127076039646,64.1792765876695,64.1792765876695,64.1792765876695,C — secondaire,0.0,0.0,Very robust
Giteranyi — Mishiha,7,307.55777316762726,377.8671559289831,67.11550941651156,67.11550941651156,67.11550941651156,C — secondaire,0.0,0.0,Very robust
Giteranyi — Muhanga,7,242.0169804954581,301.28832795837087,68.2713531847668,68.2713531847668,68.2713531847668,C — secondaire,1.0,33.333333333333336,Very robust
Giteranyi — Mukenke,7,745.5109682068834,857.2004511045373,96.41542712698137,96.41542712698137,96.41542712698137,A — stratégique,1.0,100.0,Very robust
Giteranyi — Muramvya,7,630.4072152800754,755.4829431200322,51.18251001870652,51.18251001870652,51.18251001870652,C — secondaire,0.0,0.0,Very robust
Giteranyi — Musenyi,7,647.9213294831703,785.1105346356445,58.60220331284419,58.60220331284419,58.60220331284419,C — secondaire,0.0,0.0,Very robust
Giteranyi — Mutaho,7,745.4414484252625,877.8703347536839,72.11255789018114,72.11255789018114,72.11255789018114,B — prioritaire,0.0,0.0,Very robust
Giteranyi — Muyange,7,306.21992164198264,412.77278470370675,52.61164211213131,52.6116421121313,52.61164211213131,C — secondaire,0.0,0.0,Very robust
Giteranyi — Muyinga,7,372.6993156761584,436.2007318612108,64.50853950184384,64.50853950184384,64.50853950184384,C — secondaire,1.0,16.666666666666668,Very robust
Giteranyi — Muzinda,7,311.4896396030688,399.39243640131525,57.94684178969111,57.94684178969111,57.94684178969111,C — secondaire,0.0,0.0,Very robust
Giteranyi — Mwakiro,7,173.6814953111957,217.60152341908386,62.984558629535535,62.984558629535535,62.984558629535535,C — secondaire,0.0,0.0,Very robust
Giteranyi — Mwaro,7,320.0414989491791,403.17465840679114,58.37217547907215,58.37217547907215,58.37217547907215,C — secondaire,0.0,0.0,Very robust
Giteranyi — Ngozi,7,326.7761880536923,396.44697716586813,67.40272309347972,67.40272309347972,67.40272309347972,C — secondaire,0.0,0.0,Very robust
Giteranyi — Nyabihanga,7,123.24352850714985,175.54405078877855,61.70295311262598,61.70295311262597,61.70295311262598,C — secondaire,0.0,0.0,Very robust
Giteranyi — Nyabikere,7,255.96153626764877,316.6843558289923,67.07422386061697,67.07422386061697,67.07422386061697,C — secondaire,0.0,0.0,Very robust
Giteranyi — Nyagasasa,7,543.5377590431699,663.4437935899301,58.581447454989046,58.58144745498904,58.581447454989046,C — secondaire,0.0,0.0,Very robust
Giteranyi — Rubaho,7,327.51224776855247,419.27167847223683,69.96552519453847,69.96552519453847,69.96552519453847,C — secondaire,0.0,0.0,Very robust
Giteranyi — Rugombo,7,812.0272396588456,979.8895238537909,58.34163695718184,58.34163695718184,58.34163695718184,C — secondaire,0.0,0.0,Very robust
Giteranyi — Ruhehe,7,659.2326174059648,771.0874454596991,68.51962597902529,68.51962597902529,68.51962597902529,C — secondaire,0.0,0.0,Very robust
Giteranyi — Rumonge,7,28.59909382304085,88.4602079241604,43.563228987418825,43.563228987418825,43.563228987418825,D — surveillance,0.0,0.0,Very robust
Giteranyi — Rusaka,7,415.1249646596839,512.9167508541502,66.6106807462252,66.6106807462252,66.6106807462252,C — secondaire,0.0,0.0,Very robust
Giteranyi — Rutana,7,974.2985661376996,1159.6373197732996,46.85594223556384,46.85594223556384,46.85594223556384,D — surveillance,0.0,0.0,Very robust
