corridor_key,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,priority_score,priority_tier,robust_or_strong_share_pct,products,avg_distance_km,min_distance_km,max_distance_km,avg_break_even_bif_tkm,spatial_priority_score,spatial_tier,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,products,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,geometry_type,route_observations,robust_routes,strong_or_better,avg_robustness_pct,avg_min_net_margin_bif_kg,max_min_net_margin_bif_kg,breadth_score,robust_score,margin_score,distance_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct,priority_score_component,flow_persistence_component,robustness_component,breadth_component
Gitega — Kinyinya,Gitega,Kinyinya,-3.64,30.04,-3.66,30.36,96.49434237337422,A — stratégique,100.0,10,43.812359,43.812359,43.812359,27834.520391837385,98.4224540680184,A — stratégique,6,100.0,6.0,1.0,10,5078.7318755789365,846.4553125964894,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1153.7774614999998,6600.951461499998,1.0,1.0,0.9012777438972368,0.8468787495429491,1.0,1.0,866.9838205000003,33.33333333333333,1.0,1.0,856.0307307500003,33.33333333333333,1.0,1.0,853.3436705789354,33.33333333333333,1.0,1.0,845.0776410000003,33.33333333333333,1.0,1.0,834.1245512500003,33.33333333333333,1.0,1.0,823.1714615000003,33.33333333333333,96.49434237337422,100.0,100.0,100.0
Kirundo — Ruhehe,Kirundo,Ruhehe,-2.58,30.1,-2.44,30.03,96.35913196191814,A — stratégique,100.0,10,20.787091,20.787091,20.787091,39369.72229543807,98.36160938286316,A — stratégique,6,100.0,12.0,2.0,10,30491.71866318634,5081.953110531057,66.66666666666666,66.66666666666666,100.0,straight_line_market_connector,10,10,10,100.0,787.2013635000001,4468.8193635,1.0,1.0,0.85246565689506,0.930981882401695,2.0,2.0,5101.432909,66.66666666666666,2.0,2.0,5091.0393635,66.66666666666666,2.0,2.0,5088.48957318634,66.66666666666666,2.0,2.0,5080.645818,66.66666666666666,2.0,2.0,5070.2522725,66.66666666666666,2.0,2.0,5059.858727,66.66666666666666,96.35913196191814,100.0,100.0,100.0
Buyengero — Rumonge,Buyengero,Rumonge,-3.81,29.54,-3.98,29.44,96.3533741151142,A — stratégique,100.0,10,29.588636,29.588636,29.588636,31606.96559314191,98.3590183518014,A — stratégique,6,100.0,12.0,2.0,10,8124.80127881324,1354.1335464688734,66.66666666666666,66.66666666666666,100.0,straight_line_market_connector,10,10,10,100.0,890.8240460000001,5976.447046000002,1.0,1.0,0.8682522247630399,0.8988329619853406,2.0,2.0,1381.861364,66.66666666666666,2.0,2.0,1367.067046,66.66666666666666,2.0,2.0,1363.4376388132407,66.66666666666666,2.0,2.0,1352.272728,66.66666666666666,2.0,2.0,1337.4784099999997,66.66666666666666,2.0,2.0,1322.6840919999995,66.66666666666666,96.3533741151142,100.0,100.0,100.0
Giteranyi — Kobero,Giteranyi,Kobero,-2.52,30.46,-2.65,30.41,96.19106493138682,A — stratégique,100.0,10,17.452963,17.452963,17.452963,41762.93733046933,98.28597921912407,A — stratégique,6,100.0,11.0,1.8333333333333333,10,6070.926588161902,1011.8210980269837,66.66666666666666,61.11111111111111,100.0,straight_line_market_connector,10,10,10,100.0,702.7075555000001,4098.8205555,1.0,1.0,0.8379731121796872,0.9431602687793068,1.0,1.0,891.2735185,33.33333333333333,2.0,2.0,1046.8305555000002,66.66666666666666,2.0,2.0,1044.6897366619016,66.66666666666666,2.0,2.0,1038.1040740000003,66.66666666666666,2.0,2.0,1029.3775925000002,66.66666666666666,2.0,2.0,1020.651111,66.66666666666666,96.19106493138682,100.0,100.0,100.0
Gihogazi — Muramvya,Gihogazi,Muramvya,-3.12,30.0,-3.27,29.62,96.18392072991884,A — stratégique,100.0,10,57.083005,57.083005,57.083005,23139.86448330812,98.28276432846349,A — stratégique,6,100.0,6.0,1.0,10,7711.751757762044,1285.2919596270074,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1235.2684924999996,9515.825492499996,1.0,1.0,0.9099931419178664,0.7984057891561521,1.0,1.0,1312.0384975,33.33333333333333,1.0,1.0,1297.7677462499998,33.33333333333333,1.0,1.0,1294.2667827620444,33.33333333333333,1.0,1.0,1283.496995,33.33333333333333,1.0,1.0,1269.22624375,33.33333333333333,1.0,1.0,1254.9554925,33.33333333333333,96.18392072991884,100.0,100.0,100.0
Rusaka — Rwibaga,Rusaka,Rwibaga,-3.44,29.63,-3.47,29.55,96.08353656987748,A — stratégique,100.0,10,11.888359,11.888359,11.888359,53832.492777178064,98.23759145644487,A — stratégique,6,100.0,12.0,2.0,10,4670.52561923067,778.420936538445,66.66666666666666,66.66666666666666,100.0,straight_line_market_connector,10,10,10,100.0,622.1474615,1960.4274614999983,1.0,1.0,0.8224339322740798,0.963485792439588,2.0,2.0,789.5616409999998,66.66666666666666,2.0,2.0,783.6174615,66.66666666666666,2.0,2.0,782.1592092306701,66.66666666666666,2.0,2.0,777.673282,66.66666666666666,2.0,2.0,771.7291025,66.66666666666666,2.0,2.0,765.7849229999999,66.66666666666666,96.08353656987748,100.0,100.0,100.0
Kigamba — Kirehe,Kigamba,Kirehe,-3.07,30.54,-2.95,30.35,96.07670001581256,A — stratégique,100.0,10,33.130432,33.130432,33.130432,26881.0258797712,98.23451500711565,A — stratégique,6,100.0,9.0,1.5,10,5650.93008432393,941.821680720655,66.66666666666666,49.99999999999999,100.0,straight_line_market_connector,10,10,10,100.0,840.8843519999998,5679.474351999998,1.0,1.0,0.8608869817404328,0.8858960381003906,1.0,1.0,216.764784,33.33333333333333,2.0,2.0,1182.634352,66.66666666666666,2.0,2.0,1178.5705003239295,66.66666666666666,2.0,2.0,1166.069136,66.66666666666666,1.0,1.0,957.58696,33.33333333333333,1.0,1.0,949.304352,33.33333333333333,96.07670001581256,100.0,100.0,100.0
Kayero — Rubaho,Kayero,Rubaho,-3.81,30.12,-3.85,30.22,96.04505553775869,A — stratégique,100.0,10,14.62342,14.62342,14.62342,45080.90446694413,98.2202749919914,A — stratégique,6,100.0,6.0,1.0,10,4223.378464565638,703.8964107609396,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,637.3018700000001,2200.2848700000013,1.0,1.0,0.8255049842790901,0.9534955852176882,1.0,1.0,710.74829,33.33333333333333,1.0,1.0,707.0924349999999,33.33333333333333,1.0,1.0,706.1955645656379,33.33333333333333,1.0,1.0,703.4365799999999,33.33333333333333,1.0,1.0,699.780725,33.33333333333333,1.0,1.0,696.12487,33.33333333333333,96.04505553775869,100.0,100.0,100.0
Bukirasazi — Bururi,Bukirasazi,Bururi,-3.7,29.96,-3.95,29.63,95.98418834160977,A — stratégique,100.0,10,57.357138,57.357138,57.357138,21494.65686380656,98.1928847537244,A — stratégique,6,100.0,12.0,2.0,10,6852.419506767217,1142.0699177945362,100.0,66.66666666666666,100.0,straight_line_market_connector,10,10,10,100.0,1146.8362929999998,5468.314292999999,1.0,1.0,0.9005071777851205,0.7974044785907347,1.0,1.0,449.8114310000002,33.33333333333333,2.0,2.0,1295.944293,66.66666666666666,2.0,2.0,1288.9087402672164,66.66666666666666,2.0,2.0,1267.265724,66.66666666666666,3.0,3.0,1492.9807325000002,100.0,2.0,2.0,1057.508586,66.66666666666666,95.98418834160977,100.0,100.0,100.0
Mishiha — Twinkwavu,Mishiha,Twinkwavu,-3.01,30.78,-3.26,30.65,95.93485950032571,A — stratégique,100.0,10,36.680222,36.680222,36.680222,24315.63800240905,98.17068677514658,A — stratégique,6,100.0,18.0,3.0,10,13991.317255409487,2331.8862092349145,100.0,100.0,100.0,straight_line_market_connector,10,9,10,98.33333333333334,836.8826670000004,3232.1096670000047,1.0,1.0,0.8602780175311215,0.8729299149703299,3.0,3.0,2919.619667,100.0,3.0,3.0,2087.8495005,100.0,3.0,3.0,2885.360585409487,100.0,3.0,3.0,2060.339334,100.0,3.0,3.0,2032.8291675,100.0,3.0,3.0,2005.319001,100.0,95.93485950032571,100.0,100.0,100.0
