corridor_key,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct
Bandaga — Kivyuka,6,100.0,8.0,1.3333333333333333,4452.143560580781,742.0239267634635,66.66666666666666,44.444444444444436,100.0,1.0,1.0,101.616032,33.33333333333333,1.0,1.0,86.799048,33.33333333333333,2.0,2.0,1225.6981605807807,66.66666666666666,1.0,1.0,946.982064,33.33333333333333,2.0,2.0,1173.70016,66.66666666666666,1.0,1.0,917.348096,33.33333333333333
Kobero — Muyinga,6,100.0,11.0,1.8333333333333333,4352.575252791982,725.4292087986637,66.66666666666666,61.11111111111111,100.0,1.0,1.0,549.0331365,33.33333333333333,2.0,2.0,777.5294095000004,66.66666666666666,2.0,2.0,774.225659291981,66.66666666666666,2.0,2.0,764.0625460000003,66.66666666666666,2.0,2.0,750.5956825000003,66.66666666666666,2.0,2.0,737.1288190000002,66.66666666666666
Bukirasazi — Gitega,6,100.0,6.0,1.0,4321.117581194687,720.1862635324478,33.33333333333333,33.33333333333333,100.0,1.0,1.0,726.5447714999999,33.33333333333333,1.0,1.0,723.15215725,33.33333333333333,1.0,1.0,722.3198661946873,33.33333333333333,1.0,1.0,719.7595429999999,33.33333333333333,1.0,1.0,716.3669287499999,33.33333333333333,1.0,1.0,712.9743144999999,33.33333333333333
Kayero — Rubaho,6,100.0,6.0,1.0,4223.378464565638,703.8964107609396,33.33333333333333,33.33333333333333,100.0,1.0,1.0,710.74829,33.33333333333333,1.0,1.0,707.0924349999999,33.33333333333333,1.0,1.0,706.1955645656379,33.33333333333333,1.0,1.0,703.4365799999999,33.33333333333333,1.0,1.0,699.780725,33.33333333333333,1.0,1.0,696.12487,33.33333333333333
Biyorwa — Nyabihanga,6,100.0,6.0,1.0,4207.401254143931,701.2335423573218,33.33333333333333,33.33333333333333,100.0,1.0,1.0,720.2922545000001,33.33333333333333,1.0,1.0,710.1233817500001,33.33333333333333,1.0,1.0,707.62870914393,33.33333333333333,1.0,1.0,699.9545090000001,33.33333333333333,1.0,1.0,689.7856362500002,33.33333333333333,1.0,1.0,679.6167635000002,33.33333333333333
Kigamba — Twinkwavu,6,100.0,7.0,1.1666666666666667,3861.9213531009627,643.6535588501605,66.66666666666666,38.888888888888886,100.0,1.0,1.0,332.319146,33.33333333333333,1.0,1.0,748.5687190000001,33.33333333333333,2.0,2.0,828.0398931009624,66.66666666666666,1.0,1.0,500.0582920000001,33.33333333333333,1.0,1.0,730.8878650000001,33.33333333333333,1.0,1.0,722.0474380000002,33.33333333333333
Bukirasazi — Giharo,6,100.0,6.0,1.0,3800.823777729159,633.4706296215264,33.33333333333333,33.33333333333333,100.0,1.0,1.0,655.6655620000004,33.33333333333333,1.0,1.0,643.8233430000004,33.33333333333333,1.0,1.0,640.9181577291567,33.33333333333333,1.0,1.0,631.9811240000004,33.33333333333333,1.0,1.0,620.1389050000004,33.33333333333333,1.0,1.0,608.2966860000004,33.33333333333333
Gasorwe — Kobero,6,100.0,7.0,1.1666666666666667,3679.624206750522,613.2707011250869,66.66666666666666,38.888888888888886,100.0,2.0,2.0,715.740065,66.66666666666666,1.0,1.0,603.47504875,33.33333333333333,1.0,1.0,601.3738492505215,33.33333333333333,1.0,1.0,594.910065,33.33333333333333,1.0,1.0,586.34508125,33.33333333333333,1.0,1.0,577.7800975000001,33.33333333333333
Kayero — Rutana,6,100.0,6.0,1.0,3589.6868652534076,598.2811442089013,33.33333333333333,33.33333333333333,100.0,1.0,1.0,611.206849,33.33333333333333,1.0,1.0,604.3102735,33.33333333333333,1.0,1.0,602.6183752534077,33.33333333333333,1.0,1.0,597.413698,33.33333333333333,1.0,1.0,590.5171225,33.33333333333333,1.0,1.0,583.620547,33.33333333333333
Gatabo — Kamenge,6,100.0,9.0,1.5,3075.015289416717,512.5025482361195,66.66666666666666,49.99999999999999,100.0,2.0,2.0,744.762526,66.66666666666666,1.0,1.0,296.0718945,33.33333333333333,2.0,2.0,710.3682389167172,66.66666666666666,1.0,1.0,407.262526,33.33333333333333,2.0,2.0,661.906315,66.66666666666666,1.0,1.0,254.643789,33.33333333333333
